연번,의료기관명,주소,전화번호
41,고려연합의원,(35084) 대전광역시 중구 대둔산로199번길 43 3층 (안영동),042-581-1605
42,고려의원,(34566) 대전광역시 동구 태전로 165 (삼성동),042-621-4389
43,고려정형외과의원,(34199) 대전광역시 유성구 도안대로 511-7 춘추빌딩동 3층 (상대동),042-716-1006
44,고르고의원,"(35362) 대전광역시 서구 봉우로8번길 23 대전관저디펠리체 2층 205,206,207호 (관저동)",042-541-8273
45,고운눈안과의원,(34680) 대전광역시 동구 은어송로 73 7층 (가오동),042-272-5975
46,고운마음의원,(34838) 대전광역시 중구 중앙로 125-1 2층 (선화동),042-226-4733
47,고은소아청소년과의원,"(34401) 대전광역시 대덕구 동춘당로94번길 11-15 304-1 301호 (송촌동, 송촌빌딩)",042-622-7582
48,공감더하기정신건강의학과의원,(35368) 대전광역시 서구 계백로 1135 MK클리닉 404호 (가수원동),042-542-7503
49,곽상혁내과의원,(35304) 대전광역시 서구 계룡로 650 청포빌딩 5층 (용문동),042-533-0875
50,관저내과의원,(35372) 대전광역시 서구 관저중로95번길 57 2층 202호 (관저동),042-542-9760
51,관저드림의원,(35382) 대전광역시 서구 관저로 164 2층 (관저동),042-544-8875
52,관저성모의원,"(35358) 대전광역시 서구 관저북로 78 202,203호 (관저동)",042-545-7575
53,관저정신건강의학과의원,(35382) 대전광역시 서구 관저로 164 5층 (관저동),042-541-7550
54,관저참소아청소년과의원,(35382) 대전광역시 서구 관저중로 72 3층 (관저동),042-542-7582
55,관저한빛정형외과의원,(35363) 대전광역시 서구 도안남로 148 3층 (관저동),042-544-7282
56,광명의원,"(35211) 대전광역시 서구 월평북로 11 1,2층 (월평동, 주공아파트)",042-484-8275
57,광명의원,"(34406) 대전광역시 대덕구 동춘당로 179 4층 (법동, 골드타워)",042-635-0635
58,괴정바른본의원,(35294) 대전광역시 서구 갈마로 255 1층 (괴정동),042-525-8288
59,구자경피부과의원,(35230) 대전광역시 서구 대덕대로 199 6층 (둔산동),042-484-9831
60,구정신건강의학과의원,(35264) 대전광역시 서구 계룡로 599 MG한밭빌딩 4층 403호 (탄방동),042-532-7009
61,국군의학연구소부속의원,(34105) 대전광역시 유성구 자운로 27 (자운동),042-878-4876
62,국소아청소년과의원,(35415) 대전광역시 서구 복수동로 61 2층 (복수동),042-584-7570
63,굿닥터의원,(35225) 대전광역시 서구 월평로 58 4층 (월평동),042-482-7577
64,굿모닝비뇨기과의원,"(35241) 대전광역시 서구 둔산중로 38 504호 (둔산동, 둔산메트로존)",042-486-7533
65,굿모닝위앤장내과의원,(35213) 대전광역시 서구 월평북로 79 2층 (월평동),042-364-7575
66,굿모닝의원,(35262) 대전광역시 서구 문정로 64 5층 (탄방동),042-489-2253
67,굿모닝이비인후과의원,"(35262) 대전광역시 서구 문정로2번길 95 301호 (탄방동, 주안빌딩)",042-531-9200
68,굿모닝재활의학과의원,"(35262) 대전광역시 서구 문정로48번길 58 4층 (탄방동, 자생빌딩)",042-538-7500
69,권비뇨기과의원,"(35234) 대전광역시 서구 대덕대로 202 6층 (둔산동, 타임크리닉)",042-486-7300
70,권오균소아과의원,(34069) 대전광역시 유성구 반석로 28 (반석동),042-826-1799
71,그린성모의원,"(35230) 대전광역시 서구 둔산로 14 2층 (둔산동, 그린코아)",042-487-7320
72,근로복지공단대전의원,(34016) 대전광역시 유성구 테크노3로 65 한신에스메카 1층 130~135호 (관평동),042-936-9566
73,근화내과의원,(34590) 대전광역시 동구 계족로 362 2층 (성남동),042-637-8900
74,금강의원,(34580) 대전광역시 동구 동서대로 1632 (성남동),042-626-6541
75,기린마취통증의학과의원,(35214) 대전광역시 서구 청사서로 26 2층 201호 (월평동),042-719-8020
76,기린의원,"(34382) 대전광역시 대덕구 계족로663번길 32 203호 (법동, 상가)",042-633-6556
77,기쁜이비인후과의원,"(34673) 대전광역시 동구 동구청로 205 2층 (판암동, 기쁜크리닉)",042-273-7689
78,기쁜정형외과의원,"(34673) 대전광역시 동구 동구청로 205 1,4,5층 (판암동)",042-271-0675
79,기찬가정의학과의원,(35332) 대전광역시 서구 도산로 76 1층 (도마동),042-331-7595
80,길가정의학과의원,(34676) 대전광역시 동구 옥천로 170 (판암동),042-273-7582
81,길맨비뇨기과의원,(34168) 대전광역시 유성구 대학로 1 (봉명동),042-825-0002
82,김기룡안과의원,(34627) 대전광역시 동구 중앙로 193 (중동),042-257-3948
83,김기영영심내과의원,(34223) 대전광역시 유성구 계백로 927 1302호 (원내동),042-545-0303
84,김남재내과의원,(34188) 대전광역시 유성구 계룡로 114 BYC유성빌딩 7층 703호 (봉명동),042-826-9993
85,김남철소아청소년과의원,(34589) 대전광역시 동구 우암로 173 (성남동),042-672-2462
86,김내과의원,(34925) 대전광역시 중구 대종로 468 (대흥동),042-256-4488
87,김대수내과의원,(35285) 대전광역시 서구 동서대로 981 2층 (내동),042-528-1175
88,김동수재활의학과의원,(35047) 대전광역시 중구 보문로 57 2층 (부사동),042-242-7575
89,김동철안과의원,(34017) 대전광역시 유성구 테크노중앙로 32 (관평동),042-936-8575
90,김명숙소아청소년과의원,(34648) 대전광역시 동구 동대전로 80 (대동),042-624-6300
91,김선무정신건강의학과의원,(34628) 대전광역시 동구 대전로 799 2층 (중동),042-226-8275
92,김성걸내과의원,(34842) 대전광역시 중구 선화서로 120 (선화동),042-253-0001
93,김세겸비뇨의학과의원,(35401) 대전광역시 서구 도산로 45 501호 (도마동),042-582-5677
94,김승태내과의원,(34633) 대전광역시 동구 충무로 193 (인동),042-284-8567
95,김안과의원,(34832) 대전광역시 중구 대종로 506 (은행동),042-255-8000
96,김영근성형외과의원,(34840) 대전광역시 중구 대종로 609 (선화동),042-256-0048
97,김영소아청소년과의원,"(34692) 대전광역시 동구 은어송로 63 4층 402호 (가오동, 글로리타워2)",042-272-5119
98,김영승내과의원,(34636) 대전광역시 동구 계족로 37 (효동),042-271-0575
99,김영운내과의원,(35396) 대전광역시 서구 정림동로5번길 23 2층 (정림동),042-586-7778
100,김영철비뇨기과의원,(35393) 대전광역시 서구 계백로 1272 (정림동),042-585-9768
101,김완중정신건강의학과의원,"(34832) 대전광역시 중구 중앙로 149 301호 (은행동, 한솔그린타워)",042-255-8559
102,김용석소아청소년과의원,"(35245) 대전광역시 서구 둔산로 201 207,208호 (둔산동)",042-487-2355
103,김익수마취통증의학과의원,(35048) 대전광역시 중구 대종로 289 1층 (부사동),042-252-1813
104,김일수비뇨기과의원,(34648) 대전광역시 동구 계족로 174 (대동),042-621-1041
105,김재덕성형외과의원,"(35264) 대전광역시 서구 계룡로 633 8층 (탄방동, 우리빌딩)",042-472-0001
106,김재룡성형외과의원,"(35230) 대전광역시 서구 대덕대로 179 12층 (둔산동, 엠제이피부과굿모닝어학원빌딩)",042-477-0011
107,김재현재활의학과의원,(34418) 대전광역시 대덕구 비래동로 8 3층 (비래동),042-633-5275
108,김정식내과의원,"(34070) 대전광역시 유성구 지족동로 152 4층 401호 (지족동, 코오롱타워1)",042-361-3300
109,김정현가정의학과의원,(34909) 대전광역시 중구 계백로 1719 522호 (오류동),042-522-5766
110,김종학내과의원,(35023) 대전광역시 중구 대종로 309 (부사동),042-254-4600
111,김종현내과의원,(34628) 대전광역시 동구 대전로779번길 5 2층 (원동),042-223-7580
112,김주병제통의원,(34312) 대전광역시 대덕구 신탄진로 777 1층 (신탄진동),042-932-6767
113,김주영이비인후과의원,(35214) 대전광역시 서구 월평북로 88 3층 (월평동),042-482-8997
114,김진용이비인후과의원,(34139) 대전광역시 유성구 어은로58번길 2 (어은동),042-861-7755
115,김진혁외과의원,(34625) 대전광역시 동구 대전천동로 574 (중동),042-256-9179
116,김철우내과의원,(34052) 대전광역시 유성구 엑스포로 479 (전민동),042-862-7007
117,김태명의원,(34663) 대전광역시 동구 동부로 75 (판암동),042-273-6509
118,김태영내과의원,(35294) 대전광역시 서구 갈마로 245 3층 (괴정동),042-536-0675
119,김학영정형외과의원,"(34946) 대전광역시 중구 계룡로 945 2,3층 (대사동)",042-254-7966
120,김형곤의원,(35079) 대전광역시 중구 보문산로 44 2층 (산성동),042-581-5278
121,꾸러기소아청소년과의원,(35294) 대전광역시 서구 갈마로 245 2층 (괴정동),042-528-5275
122,꿈나무소아청소년과의원,"(34049) 대전광역시 유성구 엑스포로 488 (전민동, 엑스포코아 4층 5호)",042-863-5504
123,꿈소아청소년과의원,(34417) 대전광역시 대덕구 비래동로 7 1층 (비래동),042-622-1155
124,꿈크는의원,"(34816) 대전광역시 중구 목동로 42 202호 (목동, 목동복합빌딩)",042-224-0075
125,꿈키우다의원,(34218) 대전광역시 유성구 도안북로 62 105호 (용계동),042-826-3024
126,나노필의원,(35262) 대전광역시 서구 문정로 70 7층 (탄방동),042-526-7501
127,나라정신건강의학과의원,(34177) 대전광역시 유성구 계룡로 32 (봉명동),042-822-7581
128,나래의원,"(35217) 대전광역시 서구 월평동로 45 203호 (월평동, 진달래아파트상가)",042-484-1686
129,나상연정형외과의원,(34604) 대전광역시 동구 동대전로 59-1 (대동),042-628-3599
130,나우내과의원,(35275) 대전광역시 서구 계룡로 356 (갈마동),042-522-9007
131,나유미유외과의원,"(35382) 대전광역시 서구 구봉로 139 3층 301,302호 (관저동)",042-542-8872
132,나음정신건강의학과의원,"(35230) 대전광역시 서구 대덕대로 179 6층 602호 (둔산동, 엠제이피부과굿모닝어학원)",042-472-2262
133,나이스마취통증의학과의원,(34230) 대전광역시 유성구 진잠로42번길 111 지상 4층 (원내동),042-544-7575
134,노은내과의원,(34086) 대전광역시 유성구 은구비남로 39 (지족동),042-476-8275
135,노은산부인과의원,(34086) 대전광역시 유성구 노은로 174 도원프라자 3층 302호 (지족동),042-477-3500
136,노은삼성신경과의원,(34068) 대전광역시 유성구 반석로 7 (반석동),042-823-3425
137,노은새봄안과의원,"(34086) 대전광역시 유성구 노은로 170 스타시티 3층 304호, 305호, 307호 (지족동)",042-823-2475
138,노은새봄안과의원,"(34086) 대전광역시 유성구 노은로 170 스타시티 3층 304호, 305호, 307호 (지족동)",042-823-2475
139,노은아이소아청소년과의원,"(34073) 대전광역시 유성구 지족로 282 405호 (지족동, 코오롱타워2)",042-825-4082
140,노은아이소아청소년과의원,"(34073) 대전광역시 유성구 지족로 282 405호 (지족동, 코오롱타워2)",042-825-4082
141,노은안과의원,(34086) 대전광역시 유성구 노은로 178 (지족동),042-476-5975
142,노은예소아청소년과의원,"(34077) 대전광역시 유성구 지족로 374 (지족동, 옥타브빌딩 208호)",042-826-7576
143,노은재활의학과의원,"(34086) 대전광역시 유성구 노은로 166 6층 (지족동, 계룡프라자603호,604호)",042-719-2111
144,노은정신건강의학과의원,"(34068) 대전광역시 유성구 반석로 16 7,9층 (반석동)",042-826-1588
145,노은정형외과의원,(34086) 대전광역시 유성구 노은로 170 스타시티 4층 (지족동),042-826-8271
146,노은플러스산부인과의원,"(34086) 대전광역시 유성구 노은로 178 (지족동, 금강프라자3층)",042-477-3500
147,노은한사랑가정의학과의원,"(34073) 대전광역시 유성구 지족동로 152 4층 (지족동, 코오롱타워1 402호,403호)",042-822-4697
148,노은화이트필의원,(34086) 대전광역시 유성구 은구비남로33번길 5 (지족동),042-826-3663
149,노은힐링의원,"(34073) 대전광역시 유성구 지족동로 150 3층 301호 (지족동, 리치빌딩)",042-716-0363
150,노은힘정형외과의원,"(34145) 대전광역시 유성구 노은로 178 (노은동, 금강프라자 205호)",042-345-6565
151,누가연합의원,(35002) 대전광역시 중구 산성로 130 1층 (문화동),042-583-0119
152,누리이비인후과의원,"(34593) 대전광역시 동구 우암로 172 4층 (성남동, 고려크리닉)",042-673-7582
153,눈부신의원,(34086) 대전광역시 유성구 노은로 174 (지족동),042-476-8500
154,눈사랑성모안과의원,"(34892) 대전광역시 중구 동서대로 1218 2층 (태평동, 태평크리닉)",042-533-2110
155,눈사랑안과의원,"(35234) 대전광역시 서구 대덕대로 202 2,7층 (둔산동, 경구빌딩)",042-489-0025
156,눈사랑안과의원,(34551) 대전광역시 동구 동서대로1695번길 4 7층 (용전동),1644-7500
157,늘편한가정의원,"(34400) 대전광역시 대덕구 동춘당로126번길 2 302호 (송촌동, 아이프라자)",042-639-7575
158,늘푸른내과의원,"(34705) 대전광역시 동구 산내로1287번길 10-5 2층 (낭월동, 세진빌딩)",042-273-9901
159,늘푸른의원,(34989) 대전광역시 중구 대둔산로 397 3층 (산성동),042-586-8275
160,늘푸른정신건강의학과의원,(34179) 대전광역시 유성구 도안대로 591 4층 408호 (봉명동),042-710-3827
161,다나의원,(34428) 대전광역시 대덕구 계족로489번길 84 2층 (중리동),042-632-7505
162,다니엘의원,(35334) 대전광역시 서구 도솔로 68 2층 (도마동),042-523-8598
163,다빈치마취통증의학과의원,(34172) 대전광역시 유성구 유성대로752번길 40 2층 (장대동),042-826-7689
164,다솜정신건강의학과의원,(35230) 대전광역시 서구 둔산로 34 5층 (둔산동),042-487-3724
165,다인마취통증의학과의원,(34406) 대전광역시 대덕구 동춘당로 179 5층 (법동),042-635-7575
166,다정한정신과의원,(34591) 대전광역시 동구 우암로 159 (성남동),042-624-8275
167,다조은가정의학과의원,(34009) 대전광역시 유성구 송강로 24 (송강동),042-935-7418
168,닥터스미성형외과의원,"(35230) 대전광역시 서구 대덕대로 187 1,2,3,4층 (둔산동)",042-471-1116
169,닥터스미성형외과의원,"(35230) 대전광역시 서구 대덕대로 187 1,2,3,4층 (둔산동)",042-471-1116
170,닥터스미성형외과의원,"(34551) 대전광역시 동구 동서대로1695번길 4 8층 (용전동, 에이치타워)",042-334-1116
171,닥터오즈정신건강의학과의원,(35214) 대전광역시 서구 청사로 121 (월평동),042-488-3367
172,닥터진재활의학과의원,(34692) 대전광역시 동구 동구청로 101 (가오동),042-286-7588
173,대단한내과의원,"(35260) 대전광역시 서구 둔산중로 20 나비家(가) 아르누보팰리스 지하1층 B102, B102A, B102B, B103~6호 (탄방동)",042-330-9000
174,대덕의원,(34346) 대전광역시 대덕구 신탄진로 230 (와동),042-627-1283
175,대동성모마취통증의학과의원,(34610) 대전광역시 동구 동대전로 81 (대동),042-673-8200
176,대전교도소부속의원,(34222) 대전광역시 유성구 한우물로66번길 6 (대정동),042-544-9301
177,대전더마스터의원,"(35233) 대전광역시 서구 대덕대로 244 건국타워 405,406호 (둔산동)",042-486-7773
178,대전동산의원,(34610) 대전광역시 동구 동대전로 81 (대동),042-628-1175
179,대전마취과의원,(34840) 대전광역시 중구 대종로 609 (선화동),042-256-0267
180,대전미래항외과의원,"(35368) 대전광역시 서구 계백로 1135 6층 604,605,606호 (가수원동)",042-543-0975
181,대전의원,"(34061) 대전광역시 유성구 송림로 20 (하기동, 송림마을@상가 104호)",042-826-3717
182,대전의원의료법인선인의료재단,(34623) 대전광역시 동구 대전로815번길 131 (삼성동),042-672-5123
183,대전케임씨잉안과의원,(34187) 대전광역시 유성구 계룡로 105 3-4층 (봉명동),042-826-0751
184,대전하나안과의원,(35335) 대전광역시 서구 도산로 51 403호 (도마동),042-524-3475
185,대전하나이비인후과의원,(35241) 대전광역시 서구 둔산중로 50 3층 (둔산동),042-487-9300
186,대전하늘의료소비자생활협동조합 하늘의원,"(35226) 대전광역시 서구 월평서로 11 신신빌딩 1,2,3층 (월평동)",042-716-1275
187,대전항외과의원,"(34179) 대전광역시 유성구 도안대로 591 5층 (봉명동, 명동프라자 506호,507호)",042-822-7175
188,대전헬스케어의원,"(34866) 대전광역시 중구 중앙로 69 지하1층 (선화동, 교보생명빌딩)",042-487-6600
189,대전희망나눔의료소비자생활협동조합 씨엘의원,(35261) 대전광역시 서구 문정로 30 7층 (탄방동),042-719-8255
190,대하의원,(35011) 대전광역시 중구 산성로 1 1층 (산성동),042-584-4652
191,대한정형외과의원,(34610) 대전광역시 동구 동대전로 97 (대동),042-621-4318
192,대화한빛의원,(34373) 대전광역시 대덕구 대화15길 4 2층 (대화동),042-322-7272
193,더끌림의원,(35260) 대전광역시 서구 둔산남로 94 3층 (탄방동),042-487-4875
194,더디자인성형외과의원,(35234) 대전광역시 서구 대덕대로 202 경구빌딩 5층 (둔산동),042-471-9980
195,더리턴피부과의원,(34188) 대전광역시 유성구 계룡로 114 대전유성BYC빌딩 8층 803호 (봉명동),042-716-6080
196,더바른마취통증의학과의원,(34408) 대전광역시 대덕구 계족산로81번길 54 301호 (송촌동),042-341-7575
197,더블유드림의원,(35264) 대전광역시 서구 계룡로 613 3층 (탄방동),042-535-8712
198,더블유피부과의원,"(35230) 대전광역시 서구 대덕대로 195 3,4층 (둔산동)",042-471-1115
199,더블유피부과의원,"(34188) 대전광역시 유성구 계룡로132번길 10 310호 (봉명동, 도안쎈트럴프라자)",042-471-1151
200,더블유피부과의원,(34909) 대전광역시 중구 계백로 1711-1 4층 (오류동),042-533-5575
201,더숨내과의원,"(35368) 대전광역시 서구 도안동로11번길 10 PLC빌딩 2층 201,202호 (가수원동)",042-716-5085
202,더웰피부과의원,(35382) 대전광역시 서구 구봉로131번길 49 3층 (관저동),042-335-7575
203,더웰피부과의원,(34922) 대전광역시 중구 대전천서로 457 8층 (은행동),042-252-3040
204,더웰피부과의원,"(34168) 대전광역시 유성구 온천로 34 유성빌딩 4,7층 (봉명동)",042-825-3045
205,더조은의원,"(35396) 대전광역시 서구 정림로 56-10 2,3층 (정림동, 정림프라자)",042-716-5656
206,더탑재활의학과의원,"(35363) 대전광역시 서구 관저북로13번길 23-12 한빛빌딩 201,202,203호 (관저동)",042-546-0075
207,더편한내과의원,(35370) 대전광역시 서구 관저로 23 3층 (관저동),042-716-7255
208,덕인의원,(34629) 대전광역시 동구 대전로 782 (원동),042-272-4551
209,덕진의원,(35334) 대전광역시 서구 조달청길 36 (도마동),042-527-8275
210,데일리연합의원,"(35370) 대전광역시 서구 관저로 27 4층 401,402호 (관저동)",042-716-0365
211,데일리연합의원,"(35370) 대전광역시 서구 관저로 27 4층 401,402호 (관저동)",042-716-0365
212,도마더블유피부과의원,(35335) 대전광역시 서구 도산로 51 도마 LIFE CLINIC 303호 304호 (도마동),042-534-7500
213,도마정형외과의원,(35335) 대전광역시 서구 도산로 63 (도마동),042-536-8575
214,도솔내과의원,"(34200) 대전광역시 유성구 상대남로 26 (상대동, 도안신도시9블록 트리풀시티아파트)",042-822-1977
215,도안내과의원,"(34195) 대전광역시 유성구 동서대로 679 위더스타워 3층 301,302호 (원신흥동)",042-716-1188
216,도안누리산부인과의원,"(34195) 대전광역시 유성구 원신흥남로28번길 88 2,3,4층 (원신흥동)",042-820-2800
217,도안누리소아청소년과의원,(34195) 대전광역시 유성구 원신흥남로28번길 88 3층 (원신흥동),042-820-2890
218,도안이비인후과의원,(34199) 대전광역시 유성구 도안대로 511-12 2층 (상대동),042-826-5055
219,도안키즈소아청소년과의원,(34199) 대전광역시 유성구 도안대로 511-12 (상대동),042-538-5577
220,동대전정형외과의원,(34553) 대전광역시 동구 계족로 405 (홍도동),042-627-8275
221,동서연합의원,(34663) 대전광역시 동구 동부로73번길 20-7 (용운동),042-283-7507
222,동아영상의학과의원,(34552) 대전광역시 동구 계족로 420 (용전동),042-624-0405
223,동양굿모닝영상의학과의원,"(35264) 대전광역시 서구 계룡로 607 1,2,3,4,5층 (탄방동)",042-523-1114
224,동양내과의원,(35234) 대전광역시 서구 대덕대로 202 4층 (둔산동),042-488-7503
225,동양정형외과의원,(34639) 대전광역시 동구 계족로 71 (신흥동),042-274-1400
226,동인연합의원,"(34836) 대전광역시 중구 중앙로121번길 37 1,2,3,4층 (선화동)",042-242-5060
227,두리신경외과의원,(35240) 대전광역시 서구 문예로 69 6층 (둔산동),042-472-7511
228,두리안과의원,"(35240) 대전광역시 서구 문예로 69 5층 (둔산동, 오성빌딩)",042-471-1001
229,두리이비인후과의원,(35230) 대전광역시 서구 대덕대로 179 엠제이피부과 굿모닝어학원 701호 (둔산동),042-484-7592
230,두리하나소아청소년과의원,(35079) 대전광역시 중구 보문산로 50 3층 (산성동),042-587-2212
231,두리하나이비인후과의원,(35079) 대전광역시 중구 보문산로 50 3층 (산성동),042-587-2211
232,둔산DS피부과의원,"(35230) 대전광역시 서구 대덕대로 183 11,12,13층 (둔산동)",042-471-1675
233,둔산내과의원,(35250) 대전광역시 서구 둔산로 212 (둔산동),042-487-0770
234,둔산라파엘의원,(35229) 대전광역시 서구 둔산로31번길 10-23 3층 (둔산동),042-488-5375
235,둔산배사랑내과의원,"(35230) 대전광역시 서구 대덕대로 203 7층 (둔산동, 둔산미래빌딩)",042-478-6000
236,둔산성모마취통증의학과의원,"(35251) 대전광역시 서구 문정로 131 2층 207호 (탄방동, 뉴한양프라자)",042-489-7554
237,둔산성모정형외과의원,(35214) 대전광역시 서구 월평북로 88 지하1층 지상1층 (월평동),042-483-7575
238,둔산속편한내과영상의학과의원,"(35269) 대전광역시 서구 계룡로 586 4,5,6층 (괴정동)",042-526-3010
239,둔산속편한내과영상의학과의원,"(35269) 대전광역시 서구 계룡로 586 4,5,6층 (괴정동)",042-526-3010
240,둔산송도외과의원,(35269) 대전광역시 서구 계룡로 586 2층 (괴정동),042-525-7175
241,둔산스마일의원,(35262) 대전광역시 서구 계룡로553번안길 37 2층 (탄방동),042-487-9794
242,둔산안과의원,"(35216) 대전광역시 서구 청사로 65 306호 (월평동, 황실코아)",042-486-3420
243,둔산예스비뇨기과의원,(35241) 대전광역시 서구 둔산로 144 3층 (둔산동),042-488-5550
244,둔산이내훈의원,"(35235) 대전광역시 서구 둔산남로 46 3층 (둔산동, BYC빌딩)",042-471-7175
245,둔산이비인후과의원,"(35271) 대전광역시 서구 대덕대로167번길 5 201호 (갈마동, 둔산빌딩)",042-532-8882
246,둔산평안내과의원,(35240) 대전광역시 서구 둔산로 121 2층 (둔산동),042-483-6655
247,둔산한빛내과의원,(35241) 대전광역시 서구 문예로 43 3층 (둔산동),042-486-7600
248,둔산한사랑정형외과의원,"(35260) 대전광역시 서구 문예로 19 스카이빌딩 1,4,10층 (탄방동)",042-284-5959
249,둔산힐정신건강의학과의원,"(35233) 대전광역시 서구 대덕대로 244 건국타워 4층 403,404호 (둔산동)",042-719-1191
250,드림마취통증의학과의원,(34508) 대전광역시 동구 동대전로 272 타임빌딩 2층 (가양동),042-345-7575
251,드림안과의원,"(35378) 대전광역시 서구 관저로 157 2층 (관저동, 하이존)",042-543-5052
252,드림연합의원,(35315) 대전광역시 서구 도산로253번길 45 2층 (내동),042-523-1275
253,드림이비인후과의원,(34127) 대전광역시 유성구 죽동로297번길 76 401호 (죽동),042-825-5375
254,디에스성형외과의원,(35230) 대전광역시 서구 대덕대로 183 10층 (둔산동),042-484-1675
255,디에이치안광병신경과의원,"(35233) 대전광역시 서구 대덕대로 244 건국타워 703,704호 (둔산동)",042-486-8100
256,똑똑가정의학과의원,"(35378) 대전광역시 서구 관저로 157 4층 (관저동, 하이존)",042-542-8275
257,라벨라여성의원,(35264) 대전광역시 서구 계룡로 605 601호 (탄방동),042-631-3582
258,라온산부인과의원,(34552) 대전광역시 동구 동서대로 1677 (용전동),042-273-3575
259,라온산부인과의원,(34695) 대전광역시 동구 동구청로 89-2 (가오동),042-273-3575
260,라인앤필의원,(34406) 대전광역시 대덕구 동춘당로 181 (법동),042-335-0321
261,라파엘신경과의원,(35241) 대전광역시 서구 둔산남로 107 9층 (둔산동),042-488-8204
262,럭스피부과의원,"(34086) 대전광역시 유성구 노은로 178 (지족동, 금강프라자 )",042-485-1112
263,로고내과의원,(34877) 대전광역시 중구 수침로 107-1 1층 (태평동),042-522-9923
